ep_num,episode_japan_title,episode_english_title,air_date,arc,rating,votes,type,ep_duration,directors,writers,synopsis
11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,"Expose the Plot! Pirate Butler, Captain Kuro!","Jan 26, 2000",Syrup Village Arc,7.3,1900,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami","After learning of Captain Kuro's evil plan, Usopp runs back to the village to warn Kaya, only to find that after all his years of lying no one believes him."
12,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,Clash With the Black Cat Pirates! The Great Battle on the Slope!,"Feb 2, 2000",Syrup Village Arc,7.6,1800,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami","Usopp, Luffy, Zoro, and Nami formulate a plan on the slope for when the pirates come."
13,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,The Terrifying Duo! Meowban Brothers vs. Zoro!,"Feb 9, 2000",Syrup Village Arc,7.6,1800,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami","The Straw Hat Pirates take out most of the Black Cat Pirates, so Jango orders the Nyaban Brothers to attack. Meanwhile, after getting hypnotized by Jango, Luffy gets himself stuck under the ... Read all"
14,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,Luffy Back in Action! Miss Kaya's Desperate Resistance!,"Feb 16, 2000",Syrup Village Arc,7.6,1800,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Captain Kuro arrives at the scene, and with Zoro too injured to fight, Luffy being incapacitated, and the other two being too weak to handle him, things seem hopeless. However, Kaya herself ... Read all"
15,Kuro o taose! Otoko Usoppu namida no ketsui!,Beat Kuro! Usopp the Man's Tearful Resolve!,"Feb 23, 2000",Syrup Village Arc,7.4,1700,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Zoro and Buchi face off once again as Luffy and Kuro begin their fight.
16,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,Protect Kaya! The Usopp Pirates' Great Efforts!,"Mar 1, 2000",Syrup Village Arc,7.6,1700,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","As the fight between Luffy and Kuro is close to an end, the Usopp Pirates do their best to avoid Jango."
17,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,Anger Explosion! Kuro vs. Luffy! How It Ends!,"Mar 8, 2000",Syrup Village Arc,8.1,1800,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Kuro's ultimate attack destroys everything in the area and Luffy becomes enraged by his lack of regard for his crew.
18,Anta ga chunjuu! Gaimon to kimyou na nakama,You're the Weird Creature! Gaimon and His Strange Friends!,"Mar 15, 2000",Syrup Village Arc,6.8,1700,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Usopp now in the crew and a new ship, the Going Merry, the Straw Hats head to an island said to hold a fabled treasure, only to encounter a strange man stuck in a treasure box."
19,Santouryuu no kako! Zoro to Kuina no chikai!,The Three-Sword Style's Past! Zoro and Kuina's Vow!,"Mar 22, 2000",Baratie Arc,8.9,3400,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","While Usopp and Luffy fool around with the ship's cannon one day, Zoro dreams about his childhood and the promise he made to Kuina."
20,Meibutsu kokku! Kaijou resutoran no Sanji,Famous Cook! Sanji of the Sea Restaurant!,"Apr 12, 2000",Baratie Arc,7.6,1600,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","The crew meets Johnny and Yosaku, Zoro's former companions, and they set sail for the Baratie restaurant in search of a cook."
21,Manukarezaru kyaku! Sanji no meshi to Gin on,Unwelcome Customer! Sanji's Food and Ghin's Debt!,"Apr 12, 2000",Baratie Arc,7.6,1600,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Luffy tries to recruit Sanji to join his crew.
22,Saikyou no kaizoku kantai! Teitoku Don Kurîku,The Strongest Pirate Fleet! Commodore Don Krieg!,"Apr 26, 2000",Baratie Arc,7.5,1500,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Gin returns to the Baratie with his also-starving captain, Don Krieg, to whom Sanji once more gives food, but Don Krieg betrays the cook once he regains his energy."
23,Mamore Baratie! Daikaizoku akaashi no Zefu,"Protect Baratie! The Great Pirate, Red Foot Zeff!","May 3, 2000",Baratie Arc,7.8,1600,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","It is revealed that Chef Zeff was a great pirate known as Red Leg Zeff. Gin explains the catastrophe the fleet met in Grand Line when they encountered Hawk-Eyes Mihawk, and Krieg attempts to... Read all"
24,Taka no me no Mihôku! Kenzoku Zoro umi ni chiru,Hawk-Eye Mihawk! The Great Swordsman Zoro Falls at Sea!,"May 10, 2000",Baratie Arc,9.1,4200,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","As Nami steals the Going Merry, Mihawk has returned to finish the job, but Zoro challenges him to a duel in order to achieve his dream."
25,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,The Deadly Foot Technique Bursts Forth! Sanji vs. the Invincible Pearl!,"May 17, 2000",Baratie Arc,7.5,1500,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Mihawk leaves after defeating Zoro, so Krieg continues his invasion as Sanji reveals his fighting skills. Meanwhile, Johnny and Yosaku leave with Usopp and the wounded Zoro to go after Nami."
26,Zefu to Sanji no yume Maboroshi no ôru burû,Zeff and Sanji's Dream! The Illusory All Blue!,"May 24, 2000",Baratie Arc,8.7,2500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Zeff held captive by Gin, Sanji has no choice but to take Pearl's hits, and he reflects on why Zeff means so much to him."
27,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,"Cool-Headed, Cold-Hearted Demon! Pirate Fleet Chief Commander Ghin!","May 31, 2000",Baratie Arc,7.5,1500,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Gin finishes off Pearl, claiming that he wants to kill Sanji himself. Still wounded, Sanji faces Gin while Luffy attacks Don Krieg."
28,Shinaneeyo! Gekitou Rufi vs Kurîku!,"I Won't Die! Fierce Battle, Luffy vs. Krieg!","Jun 7, 2000",Baratie Arc,7.6,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","When Gin refuses to kill Sanji, Krieg uses poison gas on him. Luffy seems to have the advantage in the fight until Krieg pulls out his explosive Battle Spear."
29,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,The Conclusion of the Deadly Battle! A Spear of Blind Determination!,"Jun 21, 2000",Baratie Arc,7.9,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Even after taking several hits from the Battle Spear, Luffy refuses to give up."
30,Tabidachi! Umi no kokku wa Rufi to tomoni,Set Sail! The Seafaring Cook Sets off With Luffy!,"Jun 28, 2000",Baratie Arc,8.3,1900,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Sanji makes the difficult decision on whether to stay or to go with Luffy.
31,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,The Worst Man in the Eastern Seas! Fish-Man Pirate Arlong!,"Jul 12, 2000",Arlong Park Arc,7.6,1400,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","The crew chases after Nami, who stole their ship, and Yosaku takes time during the trip to explain about Arlong and his Fishmen to Luffy and Sanji. Meanwhile, Usopp, Johnny, and Zoro arrive ... Read all"
32,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,Witch of Cocoyashi Village! Arlong's Female Leader!,"Jul 19, 2000",Arlong Park Arc,7.7,1400,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Zoro is captured by the fishmen. Usopp comes to the rescue when a group of Fishmen attack Cocoyashi Village.
33,Usopp Shisu?! Luffy Jouriku wa Mada?,Usopp Dead?! When Is Luffy Going To Make Landfall?!,"Jul 19, 2000",Arlong Park Arc,7.8,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","After Zoro escapes with Nami's help, she tries to prove her loyalty to the Arlong Pirates by appearing to kill Usopp. Meanwhile, Luffy's group finally arrives at the island."
34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,Everyone's Gathered! Usopp Speaks the Truth About Nami!,"Jul 26, 2000",Arlong Park Arc,7.4,1500,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Johnny tells the others about Nami killing Usopp. Luffy stubbornly decides to stay on the island.
35,Himerareta Kako! Onna Senshi Bell-mere!,Untold Past! Female Warrior Bellemere!,"Aug 2, 2000",Arlong Park Arc,8.1,1700,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Nojiko starts her story about Nami's childhood and their adopted mother, Bellemere. Despite being poor and none of them being related by blood, they had a happy life."
36,Ikinuke! Haha Bellemere to Nami no Kizuna!,Survive! Mother Bellemere and Nami's Bond!,"Aug 9, 2000",Arlong Park Arc,8.9,3200,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Nojiko continues her story, explaining how their life was ruined when the Arlong Pirates first took over the village."
37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,Luffy Rises! Result of the Broken Promise!,"Aug 16, 2000",Arlong Park Arc,9.2,4200,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","When marine officers under Arlong confiscate Nami's money, the villagers start a rebelion. Desperate, Nami asks Luffy for help."
38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,Luffy in Big Trouble! Fish-Men vs. the Luffy Pirates!,"Aug 23, 2000",Arlong Park Arc,8.2,1700,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",The Straw Hats face the Fishmen themselves as the villagers watch from the sidelines.
39,Luffy Suibotsu! Zoro vs Tako no Hacchan,Luffy Submerged! Zoro vs. Hatchan the Octopus!,"Aug 30, 2000",Arlong Park Arc,8,1600,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Arlong has trapped Luffy in the ocean and Zoro faces the six-sword wielding octopus Hatchan.
40,Hokoritakaki Senshi! Gekitou Sanji to Usopp,Proud Warriors! Sanji and Usopp's Fierce Battles!,"Sep 6, 2000",Arlong Park Arc,8,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Hatchan defeated, two of the fishmen battle Sanji and Usopp."
41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,Luffy at Full Power! Nami's Determination and the Straw Hat!,"Sep 13, 2000",Arlong Park Arc,8.1,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Arlong's officers defeated Zoro and Sanji take on Arlong but prove that they aren't a match for him. However, with Luffy finally free, he takes on Arlong himself."
42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,Explosion! Fish-Man Arlong's Fierce Assault From the Sea!,"Sep 27, 2000",Arlong Park Arc,8,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Luffy returns to the fight, and the battle with Arlong versus Luffy begins."
43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,End of the Fish-Man Empire! Nami's My Friend!,"Sep 27, 2000",Arlong Park Arc,8.6,2200,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",The battle spreads into Arlong Park itself and Arlong is no longer holding back.
44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,"Setting Out With a Smile! Farewell, Hometown Cocoyashi Village!","Oct 11, 2000",Arlong Park Arc,7.9,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Arlong's reign of terror is over, and no one has anything on their mind except to party. As the crew celebrates, Nami reflects on her hometown and decides to officially join the Straw Hat Pi... Read all"
45,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,Bounty! Straw Hat Luffy Becomes Known to the World!,"Oct 25, 2000",Arlong Park Arc,7.7,1400,Mixed Canon/Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Buggy, Krieg and Arlong defeated, Luffy now has the highest bounty in East Blue."
46,Mugiwara o Oe! Chiisana Buggy no Daibouken,Chase Straw Hat! Little Buggy's Big Adventure!,"Nov 1, 2000",Buggy Side Story Arc,6.3,1400,Mixed Canon/Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","After his fight with Luffy, Buggy was sent flying to another island with several body parts missing. Thus, Buggy begins his journey to find his crew and his body parts, making some unlikely ... Read all"
47,Omachikane! Aa Fukkatsu no Buggy Senchou!,The Wait Is Over! The Return of Captain Buggy!,"Nov 8, 2000",Buggy Side Story Arc,6.2,1400,Mixed Canon/Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","With Buggy assumed to be dead, his crew fights over who will be the new captain."
48,Hajimari to Owari no Machi: Loguetown Jouriku,The Town of the Beginning and the End! Landfall at Loguetown!,"Nov 22, 2000",Loguetown Arc,7.8,1500,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","The crew arrives at the last large town before the entrance to the Grand Line: Loguetown, the place where Gold Roger was both born and executed."
49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,Kitetsu III and Yubashiri! Zoro's New Swords and the Woman Sergeant Major!,"Nov 22, 2000",Loguetown Arc,7.9,1600,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","While searching for a pair of new swords to replace the ones shattered by Mihawk, Zoro meets a woman named Tashigi. At first sight, she looks exactly like Kuina."
50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,Usopp vs. Daddy the Parent! Showdown at High!,"Nov 29, 2000",Loguetown Arc,7.4,1400,Anime Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Usopp manages to anger the daughter of bounty hunter Daddy the Father, and finds his own life at stake when he challenges Daddy to a duel."
51,Honoo no Ryouri Battle? Sanji VS Bijin Chef,Fiery Cooking Battle? Sanji vs. the Beautiful Chef!,"Dec 6, 2000",Loguetown Arc,6.9,1200,Anime Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Sanji enters a cooking contest against a woman named Five-Alarm Carmen for a fish that he has always dreamed of cooking.
52,Buggy no Revenge! Shokeidai de Warau Otoko!,Buggy’s Revenge! The Man Who Smiles on the Execution Platform!,"Dec 13, 2000",Loguetown Arc,8.2,1400,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Zoro and Sanji show up too late to stop Buggy.
53,Densetsu wa Hajimatta! Mezase Grand Line,The Legend Has Started! Head for the Grand Line!,"Jan 10, 2001",Loguetown Arc,8.4,1800,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Miraculously saved from death by an unnatural green gust and a lightning bolt to Buggy, the Straw Hats rush out of Loguetown."
54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,"Precursor to a New Adventure! Apis, a Mysterious Girl!","Jan 17, 2001",Warship Island Arc,7,1000,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","On a stormy night, a girl called Apis escapes from the Marines and is found drifting by the Straw hats."
55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,Miraculous Creature! Apis' Secret and the Legendary Island!,"Jan 24, 2001",Warship Island Arc,6.7,1000,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",The Calm Belt is revealed to have no winds or currents as well as being the home of many giant sea kings.
56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,Eric Attacks! Great Escape From Warship Island!,"Jan 31, 2001",Warship Island Arc,6.6,1000,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Sean Whitley","Now that the crew understand why Apis was followed, they hurry to escape the island so Ryuuji can be saved."
57,Zekkai no Kotou! Densetsu no Lost Island,A Solitary Island in the Distant Sea! The Legendary Lost Island!,"Feb 7, 2001",Warship Island Arc,6.5,1000,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Sean Whitley","After arriving at what seemed to be Lost Island, the Straw Hats find an old Temple with paintings that might indicate where the Lost Island really is."
58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,Showdown in the Ruins! Tense Zoro vs. Eric!,"Feb 21, 2001",Warship Island Arc,6.6,982,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Sean Whitley","Zoro tries to fight Erik, but Erik is more interested in chasing the dragon."
59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,"Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!","Feb 21, 2001",Warship Island Arc,6.9,972,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Admiral Nelson has mobilized the full extent of the 8th fleet.
60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,Through the Sky They Soar! The 1000 Year Legend Lives Again!,"Feb 28, 2001",Warship Island Arc,7,960,Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",Luffy talks to Ryuuji in his final moments and comes to understand just what is going on. The flock of dragons returns just as Lost Island begins to re-surface.
61,Ikari no Kecchaku! Red Line o Norikoero!,An Angry Showdown! Cross the Red Line!,"Mar 7, 2001",Warship Island Arc,7.5,1000,Mixed Canon/Filler,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",The Straw Hats depart for the Grand Line.
62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,The First Line of Defense? The Giant Whale Laboon Appears!,"Mar 21, 2001",Reverse Mountain Arc,7.6,1200,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","As the Straw Hats ride down Reverse Mountain into the Grand Line, a huge whale appears in front of them."
63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,A Promise Between Men! Luffy and the Whale Vow to Meet Again!,"Mar 21, 2001",Reverse Mountain Arc,7.5,1100,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","While guiding them out of the giant whale, Laboon, its caretaker, Crocus, tells the whale's story to the Straw Hats."
64,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,A Town That Welcomes Pirates? Setting Foot on Whisky Peak!,"Apr 15, 2001",Whisky Peak Arc,7.6,1100,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami",The weather changes rapidly on the first leg of their journey from Reverse Mountain to Whiskey Peak.
65,Sakuretsu Santouryuu! Zoro VS Baroque Works!,Explosion! The Three Swords Style! Zoro vs. Baroque Works!,"Apr 15, 2001",Whisky Peak Arc,8.1,1200,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",Zoro lets loose on the bounty hunters.
66,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,"All Out Battle! Luffy vs. Zoro, Mysterious Grand Duel!","Apr 22, 2001",Whisky Peak Arc,8,1100,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",Mr. 5 and Miss Valentine follow after Vivi; Luffy wants to fight Zoro.
67,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,Deliver Princess Vivi! The Luffy Pirates Set Sail!,"Apr 29, 2001",Whisky Peak Arc,7.8,1100,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",Luffy agrees to take Vivi with them.
68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,"Try Hard, Coby! Coby and Helmeppo’s Struggles in the Marines!","May 13, 2001",Koby and Helmeppo Arc,6.6,1100,Mixed Canon/Filler,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",Coby and Helmeppo have enlisted into the navy as odd-jobbers.
69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,Coby and Helmeppo's Resolve! Vice-Admiral Garp’s Parental Affection,"May 20, 2001",Koby and Helmeppo Arc,6.8,1100,Mixed Canon/Filler,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",Coby and Helmeppo are mentored by Vice Admiral Garp in becoming marines.
70,Taiko no Shima! Little Garden ni Hisomu Kage!,An Ancient Island! The Shadow Hiding in Little Garden!,"May 27, 2001",Little Garden Arc,7.1,1100,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","As the Straw Hats sail toward Little Garden, the Baroque Works officer agents Mr. 3 and his partner Miss Golden Week receive new orders."
71,Dekkai Kettou! Kyojin Dorry to Brogy,Huge Duel! The Giants Dorry and Broggy!,"Jun 3, 2001",Little Garden Arc,7.3,1100,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Nami and Usopp are taken into Brogy's camp, meanwhile, Vivi and Luffy meet another giant, Dorry. They reveal that they will fight against each other whenever the volcano on the island erupts... Read all"
72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,Luffy Gets Angry! A Dirty Trick Violates the Sacred Duel!,"Jun 17, 2001",Little Garden Arc,7.2,1000,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard","Brogy gives Dorry booze from Nami and Usopp. The booze explodes when Dorry drinks it. The duel starts once again, and even though his chance to win is very low due to his injury, Dorry still... Read all"
73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,Broggy’s Bitter Tears of Victory! The Conclusion of Elbaf!,"Jun 24, 2001",Little Garden Arc,7.4,1000,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard",The salvage of a hundred year duel ends?
74,Ma no Candle! Munen no Namida to Ikari no Namida,The Devilish Candle! Tears of Regret and Tears of Anger!,"Jul 15, 2001",Little Garden Arc,7.6,1100,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard","Mr. 3 manages to capture Broggy with his wax. He also captures Vivi, Nami and Zoro, and tries to turn them into wax figures."
75,Luffy o Osou Maryoku! Colors Trap,A Hex on Luffy! Colors Trap!,"Aug 12, 2001",Little Garden Arc,7.6,1000,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard","Luffy tries to save Nami, Vivi and Zoro who are almost turned into wax figures. However, Miss Golden Week, partner of Mr. 3, keeps Luffy busy with her colors trap."
76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,Time to Fight Back! Usopp's Quick Thinking and Fire Star!,"Aug 19, 2001",Little Garden Arc,7.6,1000,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard","With Vivi, Nami, and Zoro are almost petrified completely by the wax and Luffy is trapped by Miss Golden Week's power, Usopp is the only one left to save them all."
77,Saraba Kyojin no Shima! Arabasuta o Mezase,Farewell Giant Island! Head for Alabasta!,"Aug 19, 2001",Little Garden Arc,7.5,1000,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Bonny Clinkenbeard","After defeating Baroque Works on the island, Straw Hat Pirate sets sail to Arabasta. Brogy and Dorry set them off and help them escape from the giant goldfish that tries to eat Going Merry."
78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,Nami’s Sick? Beyond the Snow Falling on the Sea!,"Aug 26, 2001",Drum Island Arc,7.2,1000,Manga Canon,23m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Luffy's crew gets a trouble when their navigator, Nami, is sick, and they do not have a doctor on the ship."
79,Kishuu! Bliking Gou to Blik no Wapol,A Raid! The Tin Tyrant and Tin Plate Wapol!,"Sep 2, 2001",Drum Island Arc,7.6,1000,Manga Canon,NA,Kônosuke Uda,"Eiichirô Oda, Junki Takegami","Straw Hat crew tries to find a doctor in a nearby island, but they are attacked by the pirate Wapol."
